Gen	theta_1ABCDEF	theta_2GHIJKLM	theta_3NOPRTUV	theta_8ABCDEFNOPRTUVSXZGHIJKLMY	theta_9ABCDEFNOPRTUVSXZ	theta_10NOPRTUVSXZ	theta_11NOPRTUVS	theta_12XZ	theta_13GHIJKLMY	tau_8ABCDEFNOPRTUVSXZGHIJKLMY	tau_9ABCDEFNOPRTUVSXZ	tau_10NOPRTUVSXZ	tau_11NOPRTUVS	tau_12XZ	tau_13GHIJKLMY	lnL
12300	0.001215	0.001626	0.010636	0.003583	0.002783	0.002651	0.001082	0.001858	0.003370	0.009513	0.009144	0.005793	0.004179	0.004166	0.008088	-4694.397
12400	0.001009	0.000814	0.005419	0.005847	0.001841	0.002124	0.002652	0.001942	0.001662	0.007365	0.006256	0.006111	0.002334	0.000632	0.006939	-4696.336
12500	0.001323	0.002258	0.008332	0.005387	0.001028	0.002474	0.001770	0.003543	0.003841	0.007843	0.006991	0.005119	0.003947	0.000389	0.007344	-4694.139
12600	0.001140	0.000760	0.013012	0.003697	0.003857	0.003338	0.001979	0.001036	0.002785	0.009276	0.009142	0.004591	0.003273	0.003885	0.004688	-4696.791
12700	0.000909	0.001762	0.004859	0.004125	0.003129	0.001535	0.001166	0.001206	0.002706	0.007836	0.007461	0.006266	0.003166	0.005144	0.003438	-4692.163
12800	0.001546	0.001124	0.008581	0.007445	0.006505	0.001891	0.001243	0.000811	0.003260	0.009476	0.008285	0.006839	0.004854	0.003248	0.006875	-4704.889
12900	0.001517	0.001012	0.005731	0.004111	0.001996	0.001810	0.002599	0.000889	0.003884	0.008588	0.007932	0.005202	0.003561	0.003886	0.004451	-4693.991
13000	0.001730	0.002647	0.004505	0.002394	0.003041	0.002298	0.000771	0.003663	0.002269	0.007405	0.006291	0.004820	0.003484	0.002828	0.004406	-4698.722
13100	0.000763	0.001821	0.007620	0.002244	0.003662	0.000976	0.002397	0.002787	0.005565	0.008065	0.006529	0.006290	0.003567	0.005441	0.007088	-4693.568
13200	0.000639	0.000698	0.005024	0.005705	0.004068	0.001473	0.001408	0.002582	0.001528	0.007391	0.007345	0.005900	0.003476	0.003047	0.006138	-4688.950
13300	0.001038	0.002336	0.011102	0.005058	0.009149	0.001103	0.001469	0.002244	0.001651	0.007169	0.006862	0.004394	0.002616	0.002404	0.006582	-4697.632
13400	0.001073	0.001411	0.003900	0.005727	0.006231	0.002246	0.001513	0.001570	0.008032	0.007106	0.006886	0.005555	0.002716	0.003657	0.006521	-4706.023
13500	0.001131	0.001523	0.016054	0.006113	0.002353	0.004324	0.002017	0.004717	0.001021	0.007493	0.007071	0.005835	0.003701	0.005632	0.007295	-4695.717
13600	0.001348	0.003022	0.005783	0.009348	0.004706	0.002156	0.001099	0.001137	0.002111	0.008902	0.007528	0.006399	0.005236	0.005507	0.004145	-4701.170
13700	0.000991	0.001786	0.012533	0.006328	0.004848	0.010274	0.001628	0.002423	0.001181	0.008271	0.008237	0.006317	0.003862	0.000283	0.006211	-4697.060
13800	0.000898	0.002043	0.013390	0.006325	0.002724	0.002237	0.002819	0.002546	0.002677	0.008021	0.005843	0.004510	0.003112	0.001654	0.004244	-4696.498
13900	0.000873	0.001353	0.006299	0.007181	0.002661	0.001910	0.007222	0.002184	0.001088	0.007728	0.007390	0.006171	0.003854	0.002666	0.007444	-4691.104
14000	0.001656	0.001256	0.004232	0.006751	0.005521	0.001399	0.004951	0.001277	0.002556	0.006583	0.005780	0.005235	0.005201	0.002710	0.004634	-4695.935
14100	0.000880	0.001382	0.010186	0.003533	0.001919	0.001097	0.002630	0.003784	0.002165	0.007505	0.007358	0.006095	0.003866	0.004945	0.006926	-4691.486
14200	0.001111	0.000912	0.003563	0.007880	0.001686	0.001299	0.002449	0.004839	0.002399	0.008777	0.008706	0.007430	0.004098	0.005659	0.004197	-4704.681
14300	0.001143	0.001581	0.013995	0.009002	0.001908	0.001821	0.001490	0.001757	0.001559	0.007466	0.007066	0.005126	0.002882	0.002949	0.007122	-4697.084
14400	0.001650	0.001086	0.006664	0.007298	0.001186	0.000982	0.002342	0.000692	0.005668	0.007713	0.007285	0.006925	0.004435	0.004904	0.005676	-4693.632
14500	0.000627	0.002090	0.006644	0.002507	0.004138	0.004767	0.001703	0.002935	0.010080	0.009979	0.009358	0.008302	0.003967	0.004368	0.005749	-4695.100
14600	0.000993	0.001914	0.005855	0.002680	0.014913	0.002767	0.002601	0.001224	0.005325	0.009851	0.008961	0.005347	0.003484	0.003705	0.004593	-4691.155
14700	0.001117	0.001464	0.007436	0.003925	0.023734	0.001266	0.001203	0.001304	0.002975	0.007446	0.005581	0.004888	0.002653	0.002695	0.006839	-4701.362
14800	0.003073	0.000573	0.004942	0.005962	0.007439	0.001790	0.002195	0.001380	0.002192	0.008651	0.008245	0.007280	0.005318	0.004539	0.006665	-4707.104
14900	0.001249	0.001475	0.005949	0.004618	0.001317	0.002555	0.001462	0.002801	0.005657	0.009200	0.009166	0.006355	0.004349	0.001110	0.007857	-4699.984
15000	0.001417	0.001777	0.013848	0.004597	0.001199	0.002331	0.001130	0.002177	0.003142	0.008445	0.008312	0.005644	0.004272	0.002328	0.006219	-4696.562
15100	0.001198	0.001316	0.005819	0.004429	0.007838	0.001207	0.002738	0.005181	0.003051	0.008586	0.007691	0.006344	0.002640	0.002500	0.007683	-4694.057
15200	0.000976	0.002110	0.010385	0.004672	0.004679	0.001188	0.002213	0.003203	0.003970	0.009201	0.008438	0.006191	0.003949	0.003594	0.007251	-4697.576
